stkcd,year,city,DEPTH,EXTEND,DIG,DID,policy1,policy2,CRE,IA,UD,RES_TOPSIS,FAG,LE,OPEN,GOV,DIS,DEVELOP,ADAPT,RECOVER,RESIS,RES,AGE,PROFIT,BOARD,TOP5,RD,SIZE,SDS,CSP,CSC,instrument1,instrument2,IPP,AGE2,DIDtime
1738,2019,52,0.1829515,0.4,1,0,0,0,0.06,0.01,0.1923,0.4218216,1.1,8.4343654,7.40894,0.09,4.446837,0.4370971,0.2854286,0.279993,0.2395542,0.4503015,3,1.74,6,0.35,6.05,20.87,1,0.5,1,23,23,1,9,0
1738,2020,52,0.1604091,0.05,1,0,0,0,0.02,0.01,0.2354,0.4252143,0.59,9.3670573,7.42436,0.09,4.446837,0.4418033,0.3426413,0.2880637,0.247943,0.4141452,4,1.76,6,0.35,6.64,21.06,1,0.5,1,16,16,1,16,0
1738,2021,52,0.1468119,0.05,1,0,0,0,-0.02,0.01,0.251,0.4254624,0.98,10.394922,7.43979,0.09,4.446837,0.4215885,0.3529931,0.2881606,0.2625862,0.4050609,5,2.68,5,0.36,8.23,21.23,1,0.5,1,24,24,1,25,0
1738,2022,52,0.167148,0.03,1,0,0,0,-0.04,0.01,0.2875,0.4250367,1.02,11.067475,7.43979,0.09,4.446837,0.4086031,0.3341054,0.2935651,0.2795471,0.4033911,6,2.75,5,0.35,8.79,21.35,1,0.5,1,14,14,1,36,0
1739,2020,53,0.1896631,0.02,1,0,0,0,-0.15,0.03,0.1354,0.4265885,0.51,9.3670573,7.66601,0.11,4.446837,0.4371437,0.2417258,0.4012018,0.3083462,0.4101225,0,1.94,9,0.25,3.25,21.91,0,0.5,1,21,0,1,0,0
1740,2018,48,0,0,1,0,1,0,0.15,0.01,0.0782,0.5726438,1.29,11.847891,9.38328,0.36,4.446837,0.3680123,0.3399963,0.3566591,0.2743734,0.403285,0,1.31,7,0.28,0.99,21.05,1,0.5,1,54,0,1,0,0
1740,2019,48,0.2125777,0.06,1,0,1,0,0.3,0.02,0.1279,0.6268497,1.1,12.165133,9.45526,0.31,4.446837,0.4017904,0.3422895,0.3524918,0.3207302,0.3632759,1,1.7,7,0.28,0.99,21.23,1,0.5,1,87,0,1,1,0
1740,2020,48,0.2125777,0.06,1,0,1,0,0.26,0.05,0.1527,0.6293923,1.23,12.729824,9.49125,0.31,4.446837,0.404187,0.3029151,0.3543042,0.3286211,0.3797798,2,1.28,7,0.28,0.99,21.26,1,0.5,1,87,0,1,4,0
1740,2021,48,0.2685084,0.26,1,0,1,0,0.21,0.07,0.1516,0.6296751,1.29,13.332584,9.5221,0.3,4.446837,0.3689254,0.3180649,0.3604636,0.3858412,0.3486858,3,0.8,7,0.29,0.99,21.77,1,0.5,1,87,0,1,9,0
1740,2022,48,0.3698914,0.31,1,0,1,0,0.2,0.11,0.1647,0.6298989,1.26,13.744999,9.55295,0.3,4.446837,0.3923565,0.3209109,0.3407579,0.3889476,0.3433322,4,0.98,7,0.3,0.99,21.73,1,0.5,1,51,0,1,16,0
1741,2019,110,0.3698914,0.11,0,0,0,0,0.09,0.03,0.1047,0.4254055,0.65,7.120983,6.73026,0.14,4.446837,0.4016444,0.4632708,0.3772361,0.2703424,0.3432272,0,1.36,9,0.73,3.3,21.64,1,0.5,1,11,11,1,0,0
1741,2020,110,0.1198713,0.02,0,0,0,0,0.06,0.03,0.1342,0.4269411,0.67,7.7871914,7.08502,0.14,4.446837,0.4664019,0.368304,0.3835432,0.2859053,0.3449888,1,1.58,9,0.74,4.45,21.66,1,0.5,1,22,22,1,1,0
1741,2021,110,0.1239517,0.03,0,0,0,0,-0.09,0.03,0.1682,0.4259234,0.8,8.5105035,7.44493,0.13,4.446837,0.4258127,0.3291536,0.3648756,0.3311359,0.3538081,2,3.6,9,0.76,3.75,21.85,1,0.5,1,34,34,1,4,0
1741,2022,110,0.1532609,0.04,0,0,0,0,-0.06,0.02,0.1775,0.4285511,0.82,9.1576774,7.53233,0.13,4.446837,0.4310076,0.344284,0.3598329,0.3019595,0.3630576,3,4.69,9,0.75,3.9,21.99,0,0.5,1,21,21,1,9,0
1742,2017,63,0.1685639,0.05,0,0,0,0,-0.19,0.04,0.0441,0.4098057,1.33,7.8950538,7.61974,0.14,4.446837,0.4276168,0.2642297,0.3887826,0.2832544,0.4189115,1,2.27,9,0.26,3.73,22.04,0,0.5,1,69,23,1,1,0
1742,2018,63,0.2099692,0.01,1,0,0,0,-0.17,0.04,0.0302,0.4180324,1.37,8.0600197,7.64545,0.15,4.446837,0.4251919,0.2700436,0.391938,0.3154483,0.3981471,2,2.81,9,0.26,3.99,22.12,0,0.5,1,72,24,1,4,0
1742,2019,63,0.2882849,0.02,1,0,0,0,0.09,0.02,0.0401,0.4217644,1.14,8.2503649,7.35238,0.15,4.446837,0.3935534,0.2793912,0.3776594,0.3337655,0.3908337,3,5.05,9,0.27,3.88,22.61,0,0.5,1,30,10,1,9,0
1742,2020,63,0.357295,0.02,1,0,0,0,0.06,0.02,0.0468,0.4240485,1.08,9.0815393,7.3678,0.14,4.446837,0.3833755,0.2692283,0.3685949,0.2731413,0.4295456,4,9.79,9,0.27,3.91,23.07,0,0.5,1,54,18,1,16,0
1742,2021,63,0.2727486,0.02,1,0,0,0,-0.02,0.02,0.0474,0.4248358,1.16,9.9888518,7.37809,0.13,4.446837,0.4495743,0.3196451,0.3882563,0.3185068,0.3583598,5,6.66,9,0.25,3.91,23.15,0,0.5,1,84,28,1,25,0
1742,2022,63,0.2709393,0.04,1,0,0,0,0,0.01,0.0545,0.4247032,1.18,10.509129,7.38323,0.13,4.446837,0.4412385,0.3148006,0.4246336,0.332952,0.3487324,6,3.44,9,0.26,3.91,23.26,0,0.5,1,81,27,1,36,0
1743,2019,129,0.4475321,0.01,0,0,0,0,-0.12,0.02,0.2942,0.4260379,0.52,6.797396,8.20073,0.14,4.446837,0.5270573,0.3175499,0.3963631,0.3219493,0.3513696,1,1.54,9,0.4,2.9,21.89,0,0.5,1,48,0,1,1,0
1743,2020,129,0.3393328,0.01,0,0,0,0,-0.08,0.01,0.3,0.4286795,0.52,7.4953287,8.27785,0.15,4.446837,0.4591894,0.3493867,0.4185003,0.3465787,0.3155887,2,0.68,9,0.45,3.16,22.06,1,0.5,1,42,0,1,4,0
